FRANK GOFF JR,FRANK R GOFF JR (KY),3440/3440 Singles/Doubles Points PRO
FRANK GOFF SR,FRANK R GOFF SR (),1182/1182 Singles/Doubles Points ROOKIE
FRANK HARRIS,FRANK HARRIS (TX),1182/1182 Singles/Doubles Points ROOKIE
FRANK HOMOLKA,FRANK HOMOLKA (CO),1800/1800 Singles/Doubles Points AMATEUR
FRANK HOWELL,FRANK HOWELL (FL),1800/1800 Singles/Doubles Points AMATEUR
FRANK ISIDRO,FRANK ISIDRO (MA),1182/1182 Singles/Doubles Points ROOKIE
FRANK JEVITZKY,FRANK JEVITZKY (CA),1800/1800 Singles/Doubles Points AMATEUR
FRANK KRETZSCHMAR,FRANK KRETZSCHMAR (AL),1800/1800 Singles/Doubles Points AMATEUR
FRANK KRONKOWSKI,"FRANK ""Kronko"" KRONKOWSKI (WI)",3096/3184 Singles/Doubles Points PRO
Frank Lachenmayer,Frank Lachenmayer (Offenbach),2600/2600 Singles/Doubles Points EXPERT
FRANK LANE,FRANK LANE (IN),1800/1800 Singles/Doubles Points AMATEUR
FRANK LANGONE,FRANK LANGONE (NY),1800/1800 Singles/Doubles Points AMATEUR
FRANK LEE,FRANK LEE (NV),1800/1800 Singles/Doubles Points AMATEUR
FRANK MARTINEZ,FRANK MARTINEZ (NM),1920/1969 Singles/Doubles Points AMATEUR
FRANK MCDONOUGH,FRANK MCDONOUGH (NH),1182/1182 Singles/Doubles Points ROOKIE
Frank MEDEIROS,Frank MEDEIROS (AL),800/800 Singles/Doubles Points BEGINNER
FRANK MERRILL,FRANK MERRILL (WV),1800/1800 Singles/Doubles Points AMATEUR
Frank Nitsch,Frank Nitsch (),1600/1600 Singles/Doubles Points AMATEUR
Frank Otto,Frank Otto (Bochum),1600/1600 Singles/Doubles Points AMATEUR
FRANK P COVEY,FRANK P COVEY (TX),1800/1800 Singles/Doubles Points AMATEUR
FRANK PADULA,FRANK PADULA (NY),1800/1800 Singles/Doubles Points AMATEUR
FRANK PAPALEO,FRANK PAPALEO (OH),1800/1800 Singles/Doubles Points AMATEUR
FRANK POTENT,FRANK POTENT (GE),1800/1800 Singles/Doubles Points AMATEUR
FRANK RAY,FRANK RAY (IL),1800/1800 Singles/Doubles Points AMATEUR
FRANK REECE,FRANK REECE (GA),1182/1182 Singles/Doubles Points ROOKIE
FRANK REMOE,FRANK REMOE (PA),1182/1182 Singles/Doubles Points ROOKIE
FRANK RODRIGUEZ,FRANK RODRIGUEZ (TX),1800/1800 Singles/Doubles Points AMATEUR
FRANK SANCHEZ,FRANK SANCHEZ (CA),1800/1800 Singles/Doubles Points AMATEUR
