BRIAN LACKEY,BRIAN LACKEY (TX),1800/1800 Singles/Doubles Points AMATEUR
BRIAN LEMLEY,BRIAN LEMLEY (WV),1182/1182 Singles/Doubles Points ROOKIE
Brian Leniton,Brian Leniton (CO),801/801 Singles/Doubles Points BEGINNER
BRIAN LEWIS,BRIAN LEWIS (XX),1800/1800 Singles/Doubles Points AMATEUR
BRIAN LIPSTEIN,BRIAN LIPSTEIN (FL),1800/1800 Singles/Doubles Points AMATEUR
BRIAN LOEPPKY,BRIAN LOEPPKY (CAN),2056/2577 Singles/Doubles Points EXPERT
BRIAN MACDONALD,BRIAN MACDONALD (VA),1182/1182 Singles/Doubles Points ROOKIE
BRIAN MARCKEL,BRIAN MARCKEL (MI),1800/1800 Singles/Doubles Points AMATEUR
BRIAN MARSH,BRIAN MARSH (OH),1800/1800 Singles/Doubles Points AMATEUR
BRIAN MARSHALL,BRIAN MARSHALL (TX),1182/1182 Singles/Doubles Points ROOKIE
BRIAN MARTINDALE,BRIAN MARTINDALE (WI),1800/1800 Singles/Doubles Points AMATEUR
BRIAN MATOSICH,BRIAN MATOSICH (MT),1800/1800 Singles/Doubles Points AMATEUR
Brian Mcclure,Brian Mcclure (OH),801/801 Singles/Doubles Points BEGINNER
BRIAN MCDONALD,BRIAN MCDONALD (FL),1800/1800 Singles/Doubles Points AMATEUR
BRIAN MCGEE,BRIAN MCGEE (WI),1800/1800 Singles/Doubles Points AMATEUR
BRIAN MCLANE,BRIAN MCLANE (OK),1800/1800 Singles/Doubles Points AMATEUR
BRIAN MEADE,BRIAN MEADE (OH),1800/1800 Singles/Doubles Points AMATEUR
Brian Metrjean,Brian Metrjean (LA),801/801 Singles/Doubles Points BEGINNER
BRIAN MILLER,BRIAN MILLER (AZ),1800/1800 Singles/Doubles Points AMATEUR
BRIAN MILLER,BRIAN MILLER (AZ),1800/1800 Singles/Doubles Points AMATEUR
BRIAN MORGAN,BRIAN MORGAN (OH),1800/1800 Singles/Doubles Points AMATEUR
BRIAN MURRAY,BRIAN MURRAY (NC),1800/1800 Singles/Doubles Points AMATEUR
Brian Naas,Brian Naas (GA),801/801 Singles/Doubles Points BEGINNER
BRIAN NIES,BRIAN NIES (OH),1182/1182 Singles/Doubles Points ROOKIE
BRIAN NOEL,BRIAN NOEL (WV),1182/1182 Singles/Doubles Points ROOKIE
BRIAN NOWAK,BRIAN NOWAK (IL),801/801 Singles/Doubles Points BEGINNER
BRIAN OESCHNER,BRIAN OESCHNER (FL),1800/1800 Singles/Doubles Points AMATEUR
BRIAN PAGE,BRIAN PAGE (MO),1800/1800 Singles/Doubles Points AMATEUR
